,id,type,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,genres,Genre_NR,Genre
15934,ts36545,SHOW,2015,43,"6,6",60305.0,"33,415","6,5","drama, thriller, crime",genres.3,crime
15935,ts35354,SHOW,2015,43,"6,6",24479.0,"60,53","6,6","drama, thriller, scifi",genres.3,scifi
15936,tm134516,MOVIE,2016,103,"6,1",19275.0,"22,951","6,1","drama, fantasy, action",genres.3,action
15937,ts42655,SHOW,2016,45,"7,6",5693.0,"9,545","7,2","drama, action, crime",genres.3,crime
15938,tm230551,MOVIE,2015,105,7,54128.0,"33,711",7,"drama, action, history",genres.3,history
15939,ts38568,SHOW,2016,32,"7,2",11264.0,"13,564","6,9","drama, romance, comedy",genres.3,comedy
15940,tm233533,MOVIE,2016,88,"5,7",10646.0,"17,452","5,7","drama, horror, crime",genres.3,crime
15941,tm219276,MOVIE,2016,111,"6,7",20111.0,"8,44","6,8","drama, romance, comedy",genres.3,comedy
15942,tm135543,MOVIE,2015,122,"5,3",20541.0,"9,388","5,6","drama, european, romance",genres.3,romance
15943,ts38230,SHOW,2015,51,"7,4",2784.0,"6,495","7,8","drama, thriller, crime",genres.3,crime
15944,ts66540,SHOW,2016,23,"7,3",880.0,"1,537","6,8","drama, comedy, european",genres.3,european
15945,tm290444,MOVIE,2016,136,"6,6",7304.0,"38,145","7,5","drama, action, thriller",genres.3,thriller
15946,tm275800,MOVIE,2016,110,"6,8",3844.0,"18,073",7,"drama, romance, european",genres.3,european
15947,ts53076,SHOW,2016,44,"6,9",303.0,"103,284",,"drama, action, crime",genres.3,crime
15948,tm218186,MOVIE,2015,110,"7,9",38.0,"8,075","5,8","drama, thriller, western",genres.3,western
15949,tm201365,MOVIE,2015,156,"6,4",12886.0,"4,823","6,6","drama, action, sport",genres.3,sport
15950,ts56748,SHOW,2016,22,"7,3",2012.0,"12,18",8,"drama, thriller, reality",genres.3,reality
15951,tm244513,MOVIE,2016,105,"7,4",9739.0,"9,524","7,8","drama, crime, european",genres.3,european
15952,tm211478,MOVIE,2015,139,"7,4",26790.0,"7,836","6,6","drama, comedy, romance",genres.3,romance
15953,tm195870,MOVIE,2015,85,"5,8",2965.0,"7,823","5,9","drama, comedy, thriller",genres.3,thriller
15954,ts57705,SHOW,2016,48,"7,4",64.0,"10,121","7,6","drama, crime, action",genres.3,action
15955,ts41899,SHOW,2016,16,"7,1",423.0,"5,984","8,4","drama, horror, thriller",genres.3,thriller
15956,ts43341,SHOW,2015,69,"6,3",7.0,"4,985","7,8","drama, documentation, comedy",genres.3,comedy
15957,ts52825,SHOW,2016,45,"7,9",767.0,"8,08","7,2","drama, history, romance",genres.3,romance
15958,ts107658,SHOW,2015,44,"7,5",12.0,,,"drama, action, crime",genres.3,crime
15959,tm246543,MOVIE,2016,98,"6,3",1336.0,"4,917","6,2","drama, comedy, european",genres.3,european
15960,tm208628,MOVIE,2015,170,7,17149.0,"7,728","6,8","drama, comedy, romance",genres.3,romance
15961,tm137557,MOVIE,2015,93,"5,9",758.0,"2,663","4,8","drama, crime, romance",genres.3,romance
15962,tm155382,MOVIE,2015,105,"5,1",699.0,"1,487","5,7","drama, thriller, romance",genres.3,romance
15963,tm240733,MOVIE,2016,108,"7,5",6167.0,"9,529","7,5","drama, comedy, european",genres.3,european
15964,ts86089,SHOW,2016,10,5,56.0,"2,682",4,"drama, thriller, horror",genres.3,horror
15965,tm549892,MOVIE,2016,90,"1,5",382.0,"1,217",,"drama, scifi, thriller",genres.3,thriller
15966,tm214589,MOVIE,2015,117,"6,5",303.0,"0,862","6,8","drama, music, romance",genres.3,romance
15967,tm212909,MOVIE,2015,107,"6,3",502.0,"2,99","7,5","drama, comedy, romance",genres.3,romance
15968,tm315344,MOVIE,2017,140,"7,4",165817.0,"21,304","7,1","drama, crime, sport",genres.3,sport
15969,ts75097,SHOW,2018,39,"7,7",74877.0,"18,19","7,4","drama, scifi, comedy",genres.3,comedy
15970,ts54054,SHOW,2017,43,"7,8",13238.0,"19,835","7,3","drama, comedy, crime",genres.3,crime
15971,tm244174,MOVIE,2017,122,"7,3",116305.0,"23,865","7,4","drama, scifi, action",genres.3,action
15972,ts78430,SHOW,2018,57,"6,7",17304.0,"15,543","6,4","drama, thriller, crime",genres.3,crime
15973,ts58155,SHOW,2017,44,"7,7",31577.0,"15,686","7,4","drama, thriller, crime",genres.3,crime
15974,ts76458,SHOW,2018,46,"7,3",8762.0,"16,444","6,8","drama, thriller, crime",genres.3,crime
15975,tm346943,MOVIE,2017,105,"6,8",16482.0,"7,996","6,8","drama, comedy, european",genres.3,european
15976,ts121489,SHOW,2017,22,"5,5",1841.0,"18,063","5,5","drama, horror, thriller",genres.3,thriller
15977,tm244175,MOVIE,2017,122,7,42808.0,"19,791","7,4","drama, war, history",genres.3,history
15978,tm321703,MOVIE,2017,97,"5,8",31620.0,"16,72","6,1","drama, romance, comedy",genres.3,comedy
15979,ts78356,SHOW,2018,43,"7,3",616.0,"70,563","7,4","drama, scifi, thriller",genres.3,thriller
