,id,type,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,countries,Country_NR,Country
4503,ts288087,SHOW,2021,55,"6,8",5093.0,"3,62","6,5",GB,production_countries.1,GB
4505,ts253813,SHOW,2021,44,8,3941.0,"4,075",7,PT,production_countries.1,PT
4507,ts104499,SHOW,2021,29,7,3701.0,"31,828","7,4",PH,production_countries.1,PH
4508,tm855075,MOVIE,2021,138,"7,4",7958.0,"126,053","7,8",JP,production_countries.1,JP
4509,ts296825,SHOW,2021,49,"6,3",3863.0,"7,426","5,9",FR,production_countries.1,FR
4510,ts256311,SHOW,2021,25,"6,6",2575.0,"42,457","8,4",JP,production_countries.1,JP
4511,ts269881,SHOW,2021,24,"6,2",4647.0,"147,396","8,6",JP,production_countries.1,JP
4512,tm1080252,MOVIE,2021,93,"7,1",6444.0,"185,834","7,1",BR,production_countries.1,BR
4513,ts312071,SHOW,2021,17,"7,3",3724.0,"24,343","8,7",JP,production_countries.1,JP
4514,ts250092,SHOW,2021,23,7,1480.0,"73,903","8,4",JP,production_countries.1,JP
4515,ts302312,SHOW,2021,43,"5,7",1718.0,"45,098","7,2",ES,production_countries.1,ES
4518,tm1167440,MOVIE,2021,103,"6,2",3731.0,"17,668","6,6",NL,production_countries.1,NL
4519,ts260477,SHOW,2021,45,"7,1",3229.0,"1,536",,NO,production_countries.1,NO
4520,ts265991,SHOW,2021,54,"7,4",3637.0,"16,009","7,1",ES,production_countries.1,ES
4521,ts315041,SHOW,2021,71,"7,4",1897.0,"41,943","8,1",KR,production_countries.1,KR
4522,ts307925,SHOW,2021,32,"6,5",2841.0,"9,044","5,8",FR,production_countries.1,FR
4523,tm858000,MOVIE,2021,138,"7,2",8367.0,"116,036","7,9",JP,production_countries.1,JP
4524,ts273485,SHOW,2021,24,"6,6",1483.0,"323,144",8,JP,production_countries.1,JP
4525,tm1042481,MOVIE,2021,86,"5,5",1700.0,"240,433","5,3",CA,production_countries.1,CA
4526,ts282133,SHOW,2021,19,"6,1",10.0,"3,701","7,3",FR,production_countries.1,FR
4527,ts271604,SHOW,2021,25,"7,7",1712.0,"17,658","7,7",JP,production_countries.1,JP
4528,ts313781,SHOW,2021,47,"7,9",7810.0,"7,232","7,2",TR,production_countries.1,TR
4529,ts311791,SHOW,2021,48,"6,4",1864.0,"26,15","6,7",KR,production_countries.1,KR
4530,tm673809,MOVIE,2021,112,"7,4",21558.0,"16,451","7,3",DE,production_countries.1,DE
4531,ts222864,SHOW,2021,44,"8,4",2019.0,"44,455","9,4",CN,production_countries.1,CN
4532,tm999817,MOVIE,2021,131,"6,8",2181.0,"21,014","8,6",CN,production_countries.1,CN
4533,ts255486,SHOW,2021,24,"6,5",1612.0,"33,642","7,3",JP,production_countries.1,JP
