id;type;release_year;runtime;imdb_score;imdb_votes;tmdb_popularity;tmdb_score;countries;production_countries.1;production_countries.2;production_countries.3;production_countries.4;production_countries.5;production_countries.6;production_countries.7
tm266628;MOVIE;2016;24;;;13,027;5,7;US;US;;;;;;
tm243849;MOVIE;2016;24;;;5,349;7,1;US;US;;;;;;
tm199987;MOVIE;2015;83;;;3,016;4,3;US;US;;;;;;
tm242745;MOVIE;2016;39;;;2,358;8,2;US;US;;;;;;
tm860487;MOVIE;2016;44;;;1,078;7,4;US;US;;;;;;
tm839847;MOVIE;2017;17;;;6,823;6,4;US;US;;;;;;
tm376840;MOVIE;2018;40;;;6,215;7,2;US;US;;;;;;
tm325102;MOVIE;2017;23;;;20,552;6,5;US;US;;;;;;
tm362180;MOVIE;2017;31;;;4,965;5,5;US;US;;;;;;
ts58480;SHOW;2017;45;;;2,288;6,4;US;US;;;;;;
tm349752;MOVIE;2017;39;;;7,442;7,1;US;US;;;;;;
tm414595;MOVIE;2018;26;;;6,085;8;US;US;;;;;;
tm327219;MOVIE;2017;13;;;2,676;7,5;US;US;;;;;;
ts81827;SHOW;2018;24;;;1,87;10;US;US;;;;;;
tm374656;MOVIE;2018;10;;;6,258;6,5;US;US;;;;;;
tm429567;MOVIE;2018;33;;;1,35;6,9;US;US;;;;;;
tm435144;MOVIE;2018;23;;;3,85;6,1;US;US;;;;;;
tm443073;MOVIE;2018;35;;;1,32;5,8;US;US;;;;;;
ts78757;SHOW;2017;57;;;0,6;8,5;US;US;;;;;;
tm447263;MOVIE;2018;27;;;2,821;6;US;US;;;;;;
tm404610;MOVIE;2018;45;;;1,982;6;US;US;;;;;;
ts81828;SHOW;2018;23;;;1,168;;US;US;;;;;;
ts236619;SHOW;2018;3;;;1,168;10;US;US;;;;;;
tm364525;MOVIE;2017;50;;;3,844;5,6;US;US;;;;;;
ts90448;SHOW;2019;199;;;1,96;10;US;US;;;;;;
ts223548;SHOW;2020;25;;;29,669;8,4;US;US;;;;;;
tm836438;MOVIE;2019;90;;;34,6;6,4;US;US;;;;;;
tm877681;MOVIE;2020;95;;;55,783;6,4;US;US;;;;;;
ts255427;SHOW;2020;32;;;32,283;8,1;US;US;;;;;;
tm853953;MOVIE;2020;103;;;16,143;6,4;US;US;;;;;;
tm845512;MOVIE;2020;104;;;19,692;5,6;US;US;;;;;;
tm926004;MOVIE;2020;24;;;46,316;6,9;US;US;;;;;;
ts272134;SHOW;2020;24;;;11,742;8,1;US;US;;;;;;
ts227385;SHOW;2020;13;;;34,608;7,6;US;US;;;;;;
tm853396;MOVIE;2020;97;;;48,702;7;US;US;;;;;;
tm467579;MOVIE;2019;109;;;16,247;6;US;US;;;;;;
tm475836;MOVIE;2019;30;;;7,367;6,2;US;US;;;;;;
ts236033;SHOW;2020;35;;;4,274;7,1;US;US;;;;;;
tm858001;MOVIE;2020;98;;;5,929;5,5;US;US;;;;;;
ts251157;SHOW;2020;24;;;34,615;8,3;US;US;;;;;;
ts218803;SHOW;2019;47;;;1,585;7,9;US;US;;;;;;
ts225162;SHOW;2020;38;;;4,42;7,6;US;US;;;;;;
ts220248;SHOW;2019;48;;;8,653;7,5;US;US;;;;;;
tm978401;MOVIE;2019;86;;;9,023;6,7;US;US;;;;;;
ts223077;SHOW;2019;59;;;2,864;7,4;US;US;;;;;;
tm898169;MOVIE;2020;12;;;14,24;7,8;US;US;;;;;;
ts251420;SHOW;2020;30;;;10,375;7,3;US;US;;;;;;
tm917036;MOVIE;2020;39;;;7,319;7,6;US;US;;;;;;
ts254045;SHOW;2020;28;;;14,93;7,5;US;US;;;;;;
tm850862;MOVIE;2019;18;;;6,985;7,1;US;US;;;;;;
tm860965;MOVIE;2020;86;;;5,528;7,4;US;US;;;;;;
ts224794;SHOW;2020;25;;;8,629;8,3;US;US;;;;;;
tm897771;MOVIE;2020;97;;;4,286;7,5;US;US;;;;;;
ts256784;SHOW;2020;14;;;8,503;7,8;US;US;;;;;;
tm1147120;MOVIE;2020;10;;;4,535;4,9;US;US;;;;;;
tm846941;MOVIE;2020;16;;;3,639;6,4;US;US;;;;;;
