id;type;release_year;runtime;genres;genres.1;genres.2;genres.3;genres.4;genres.5;genres.6;genres.7;genres.8;genres.9;imdb_score;imdb_votes;tmdb_popularity;tmdb_score
tm1074622;MOVIE;2021;34;;;;;;;;;;;;;1,4;
ts301964;SHOW;2021;25;action;action;;;;;;;;;;;1,586;2
tm1036542;MOVIE;2021;32;;;;;;;;;;;;;2,464;7,8
ts296581;SHOW;2021;40;horror;horror;;;;;;;;;;;1,017;
tm1039571;MOVIE;2021;32;;;;;;;;;;;;;1,887;7,7
tm1019822;MOVIE;2021;42;;;;;;;;;;;;;9,048;7,3
ts269300;SHOW;2021;56;;;;;;;;;;;;;4,978;8
tm1102410;MOVIE;2021;12;animation;animation;;;;;;;;;;;2,151;
tm1019084;MOVIE;2021;35;;;;;;;;;;;;;7,61;7,8
ts287804;SHOW;2021;30;;;;;;;;;;;;;2,664;1
ts297729;SHOW;2021;20;;;;;;;;;;;;;0,6;5
ts302434;SHOW;2021;33;;;;;;;;;;;;;0,6;
tm1040959;MOVIE;2021;35;;;;;;;;;;;;;2,449;10
ts345779;SHOW;2022;22;;;;;;;;;;;;;5,321;10
tm1074617;MOVIE;2021;35;;;;;;;;;;;;;;
tm1035612;MOVIE;2021;37;;;;;;;;;;;;;1,06;10
ts296698;SHOW;2021;4;;;;;;;;;;;;;0,6;
ts297061;SHOW;2021;23;;;;;;;;;;;;;0,959;8
tm210754;MOVIE;1999;118;drama, comedy;drama;comedy;;;;;;;;;;1,844;7,5
tm76428;MOVIE;2007;64;documentation, comedy;documentation;comedy;;;;;;;;;;20,424;6,1
tm78189;MOVIE;2007;105;thriller, european;thriller;european;;;;;;;;;;12,99;5,6
tm186461;MOVIE;2005;208;music, documentation;music;documentation;;;;;;;;;;8,676;7,7
tm31290;MOVIE;2006;88;horror, thriller;horror;thriller;;;;;;;;;;6,915;5,8
tm80487;MOVIE;2004;47;family, animation;family;animation;;;;;;;;;;3,355;4,6
ts82592;SHOW;2008;44;drama, thriller;drama;thriller;;;;;;;;;;0,6;
ts23353;SHOW;2009;45;drama, comedy;drama;comedy;;;;;;;;;;1,092;
tm165712;MOVIE;2011;146;comedy, music;comedy;music;;;;;;;;;;2,631;7,3
ts60663;SHOW;2011;44;family, drama;family;drama;;;;;;;;;;1,492;
tm180802;MOVIE;2013;20;action, animation;action;animation;;;;;;;;;;10,788;6,2
tm140334;MOVIE;2014;94;thriller, european;thriller;european;;;;;;;;;;12,202;6
tm215638;MOVIE;2016;87;drama, european;drama;european;;;;;;;;;;207,147;7
tm252245;MOVIE;2016;40;war, documentation;war;documentation;;;;;;;;;;6,399;7,4
tm494288;MOVIE;2016;103;comedy, crime;comedy;crime;;;;;;;;;;0,707;
tm313374;MOVIE;2016;93;comedy, european;comedy;european;;;;;;;;;;0,6;7
tm242745;MOVIE;2016;39;drama, documentation;drama;documentation;;;;;;;;;;2,358;8,2
tm860487;MOVIE;2016;44;fantasy, horror;fantasy;horror;;;;;;;;;;1,078;7,4
ts56544;SHOW;2016;40;drama, comedy;drama;comedy;;;;;;;;;;3,438;
ts82375;SHOW;2018;24;action, scifi;action;scifi;;;;;;;;;;0,6;0,5
tm446206;MOVIE;2017;30;family, animation;family;animation;;;;;;;;;;12,832;6,8
tm447750;MOVIE;2018;22;animation, comedy;animation;comedy;;;;;;;;;;3,852;7,5
ts84330;SHOW;2018;51;drama, comedy;drama;comedy;;;;;;;;;;1,364;8,3
tm374656;MOVIE;2018;10;documentation, drama;documentation;drama;;;;;;;;;;6,258;6,5
tm364417;MOVIE;2017;33;drama, comedy;drama;comedy;;;;;;;;;;4,463;6,5
tm352642;MOVIE;2018;15;comedy, drama;comedy;drama;;;;;;;;;;1,753;
ts55735;SHOW;2017;44;comedy, drama;comedy;drama;;;;;;;;;;2,684;7,4
ts104093;SHOW;2018;0;animation, family;animation;family;;;;;;;;;;1,96;10
ts255427;SHOW;2020;32;action, scifi;action;scifi;;;;;;;;;;32,283;8,1
ts272134;SHOW;2020;24;action, scifi;action;scifi;;;;;;;;;;11,742;8,1
tm853396;MOVIE;2020;97;fantasy, european;fantasy;european;;;;;;;;;;48,702;7
tm467579;MOVIE;2019;109;comedy, romance;comedy;romance;;;;;;;;;;16,247;6
ts219049;SHOW;2019;44;scifi, documentation;scifi;documentation;;;;;;;;;;1,074;9
ts252098;SHOW;2020;23;drama, comedy;drama;comedy;;;;;;;;;;6,196;7,1
ts251157;SHOW;2020;24;action, scifi;action;scifi;;;;;;;;;;34,615;8,3
ts218803;SHOW;2019;47;documentation, reality;documentation;reality;;;;;;;;;;1,585;7,9
ts225162;SHOW;2020;38;documentation, reality;documentation;reality;;;;;;;;;;4,42;7,6
ts225669;SHOW;2020;28;scifi, animation;scifi;animation;;;;;;;;;;15,918;7,2
tm834230;MOVIE;2019;92;thriller, european;thriller;european;;;;;;;;;;19,667;5,3
tm855535;MOVIE;2020;135;drama, european;drama;european;;;;;;;;;;9,14;6,9
ts225410;SHOW;2020;34;drama, documentation;drama;documentation;;;;;;;;;;11,746;8,5
ts245653;SHOW;2019;34;comedy, drama;comedy;drama;;;;;;;;;;17,831;7,6
tm856424;MOVIE;2020;151;romance, comedy;romance;comedy;;;;;;;;;;5,22;6,6
ts59542;SHOW;2020;42;comedy, drama;comedy;drama;;;;;;;;;;24,093;7,2
ts253549;SHOW;2020;16;documentation, family;documentation;family;;;;;;;;;;3,67;10
tm458418;MOVIE;2019;122;romance, drama;romance;drama;;;;;;;;;;44,421;7,9
ts224891;SHOW;2020;40;drama, comedy;drama;comedy;;;;;;;;;;6,923;7,6
tm889390;MOVIE;2020;85;documentation, music;documentation;music;;;;;;;;;;7,739;8,1
tm452962;MOVIE;2019;107;thriller, european;thriller;european;;;;;;;;;;9,353;6,7
ts256898;SHOW;2020;45;drama, comedy;drama;comedy;;;;;;;;;;3,693;6,1
ts225379;SHOW;2020;65;crime, drama;crime;drama;;;;;;;;;;5,42;8,6
tm838869;MOVIE;2019;99;documentation, european;documentation;european;;;;;;;;;;3,206;6,8
tm842829;MOVIE;2019;94;thriller, crime;thriller;crime;;;;;;;;;;6,002;5,7
tm465984;MOVIE;2019;111;thriller, european;thriller;european;;;;;;;;;;3,033;5
tm977952;MOVIE;2020;118;comedy, music;comedy;music;;;;;;;;;;9,062;6,3
tm857805;MOVIE;2020;87;horror, thriller;horror;thriller;;;;;;;;;;5,103;6,5
tm850730;MOVIE;2020;119;drama, european;drama;european;;;;;;;;;;7,226;6,9
tm845850;MOVIE;2019;112;comedy, drama;comedy;drama;;;;;;;;;;27,102;8,1
tm882700;MOVIE;2020;92;documentation, drama;documentation;drama;;;;;;;;;;2,138;3,6
ts225647;SHOW;2020;68;drama, crime;drama;crime;;;;;;;;;;5,348;8,8
ts269283;SHOW;2020;29;drama, comedy;drama;comedy;;;;;;;;;;2,688;7,7
tm857873;MOVIE;2020;114;drama, comedy;drama;comedy;;;;;;;;;;1,923;5,2
tm854749;MOVIE;2020;96;drama, european;drama;european;;;;;;;;;;5,275;5,7
tm456271;MOVIE;2019;13;comedy, drama;comedy;drama;;;;;;;;;;0,84;7
tm474647;MOVIE;2019;119;romance, drama;romance;drama;;;;;;;;;;5,199;6,2
tm1036794;MOVIE;2020;90;documentation, music;documentation;music;;;;;;;;;;0,62;
ts90568;SHOW;2019;44;comedy, drama;comedy;drama;;;;;;;;;;3,762;9
tm894858;MOVIE;2019;97;crime, action;crime;action;;;;;;;;;;1,4;
